,Time,Open,High,Low,Close,Volume,Readable_time
221,1699592400000,47.46,47.52,46.81,47.37,223128.27000000,2023-11-10 05:00:00
222,1699596000000,47.36,48.87,46.81,48.74,412873.63000000,2023-11-10 06:00:00
223,1699599600000,48.75,48.85,47.14,47.55,481471.32000000,2023-11-10 07:00:00
224,1699603200000,47.54,47.7,46.56,47.22,404496.90000000,2023-11-10 08:00:00
225,1699606800000,47.22,49.23,46.92,49.08,424578.49000000,2023-11-10 09:00:00
226,1699610400000,49.08,49.8,48.52,49.32,1011898.70000000,2023-11-10 10:00:00
227,1699614000000,49.31,51.2,48.7,50.7,1056965.30000000,2023-11-10 11:00:00
228,1699617600000,50.7,51.93,50.05,51.44,1103277.11000000,2023-11-10 12:00:00
229,1699621200000,51.44,51.48,49.48,49.77,667667.13000000,2023-11-10 13:00:00
230,1699624800000,49.78,50.72,48.63,50.38,967837.82000000,2023-11-10 14:00:00
231,1699628400000,50.38,51.34,50.22,50.87,496123.69000000,2023-11-10 15:00:00
232,1699632000000,50.88,52.5,50.64,51.7,733082.46000000,2023-11-10 16:00:00
233,1699635600000,51.71,52.95,51.33,52.61,494789.71000000,2023-11-10 17:00:00
234,1699639200000,52.61,54.68,52.43,53.42,1234202.02000000,2023-11-10 18:00:00
235,1699642800000,53.43,54.99,53.42,54.11,766453.50000000,2023-11-10 19:00:00
236,1699646400000,54.11,55.0,53.02,54.61,623096.55000000,2023-11-10 20:00:00
237,1699650000000,54.6,54.89,53.68,53.9,348651.11000000,2023-11-10 21:00:00
238,1699653600000,53.9,57.0,53.61,56.62,657642.51000000,2023-11-10 22:00:00
239,1699657200000,56.66,57.54,56.07,56.67,779211.43000000,2023-11-10 23:00:00
240,1699660800000,56.67,57.7,56.21,56.74,624616.51000000,2023-11-11 00:00:00
241,1699664400000,56.74,57.34,54.39,55.05,849316.76000000,2023-11-11 01:00:00
242,1699668000000,55.06,56.41,54.8,55.92,500381.10000000,2023-11-11 02:00:00
243,1699671600000,55.92,56.01,54.53,55.84,383919.39000000,2023-11-11 03:00:00
244,1699675200000,55.82,55.82,53.8,54.56,415903.90000000,2023-11-11 04:00:00
245,1699678800000,54.56,54.95,54.07,54.6,200532.73000000,2023-11-11 05:00:00
246,1699682400000,54.6,55.55,54.4,55.42,248808.83000000,2023-11-11 06:00:00
247,1699686000000,55.41,56.0,53.55,54.26,401246.87000000,2023-11-11 07:00:00
248,1699689600000,54.27,55.05,53.8,54.87,344940.38000000,2023-11-11 08:00:00
249,1699693200000,54.86,55.84,54.14,54.51,348168.03000000,2023-11-11 09:00:00
250,1699696800000,54.51,55.28,54.26,55.19,152067.91000000,2023-11-11 10:00:00
251,1699700400000,55.19,55.7,54.81,55.25,237161.25000000,2023-11-11 11:00:00
252,1699704000000,55.25,56.58,55.02,56.48,421024.98000000,2023-11-11 12:00:00
253,1699707600000,56.48,59.82,56.38,59.68,1269208.91000000,2023-11-11 13:00:00
254,1699711200000,59.69,63.95,59.3,62.09,2026442.62000000,2023-11-11 14:00:00
255,1699714800000,62.09,62.97,58.88,60.89,1078584.35000000,2023-11-11 15:00:00
256,1699718400000,60.89,62.49,60.89,61.31,663870.02000000,2023-11-11 16:00:00
257,1699722000000,61.31,61.5,58.1,58.97,967822.20000000,2023-11-11 17:00:00
258,1699725600000,58.96,59.37,58.43,58.55,317133.83000000,2023-11-11 18:00:00
259,1699729200000,58.55,60.61,58.47,60.53,391736.21000000,2023-11-11 19:00:00
260,1699732800000,60.53,60.53,57.11,57.67,579907.27000000,2023-11-11 20:00:00
261,1699736400000,57.67,58.83,57.32,58.1,325312.55000000,2023-11-11 21:00:00
262,1699740000000,58.11,58.81,56.91,58.2,404800.16000000,2023-11-11 22:00:00
263,1699743600000,58.19,58.2,55.36,56.34,637951.54000000,2023-11-11 23:00:00
264,1699747200000,56.36,57.91,54.5,55.84,947669.75000000,2023-11-12 00:00:00
265,1699750800000,55.84,56.91,55.14,56.42,484321.51000000,2023-11-12 01:00:00
266,1699754400000,56.42,56.43,54.7,55.51,536014.20000000,2023-11-12 02:00:00
267,1699758000000,55.52,57.78,55.25,57.39,373622.46000000,2023-11-12 03:00:00
268,1699761600000,57.37,58.2,56.44,57.62,519564.34000000,2023-11-12 04:00:00
269,1699765200000,57.63,59.28,56.83,58.68,394118.82000000,2023-11-12 05:00:00
270,1699768800000,58.67,59.79,57.7,59.58,478330.84000000,2023-11-12 06:00:00
271,1699772400000,59.59,61.86,59.3,61.08,903989.63000000,2023-11-12 07:00:00
272,1699776000000,61.09,61.45,59.17,60.03,523246.37000000,2023-11-12 08:00:00
273,1699779600000,60.04,60.35,58.51,59.1,426535.59000000,2023-11-12 09:00:00
274,1699783200000,59.11,60.37,58.4,59.32,388839.76000000,2023-11-12 10:00:00
275,1699786800000,59.31,60.75,59.19,59.97,306840.23000000,2023-11-12 11:00:00
276,1699790400000,59.98,60.39,58.3,58.48,421886.05000000,2023-11-12 12:00:00
277,1699794000000,58.47,59.53,57.68,59.03,373927.54000000,2023-11-12 13:00:00
278,1699797600000,59.03,59.6,58.36,58.93,250103.88000000,2023-11-12 14:00:00
279,1699801200000,58.92,59.41,57.96,58.62,287985.02000000,2023-11-12 15:00:00
280,1699804800000,58.63,58.77,57.44,58.1,279863.79000000,2023-11-12 16:00:00
281,1699808400000,58.1,58.19,56.91,57.2,260016.75000000,2023-11-12 17:00:00
282,1699812000000,57.2,57.94,56.27,57.31,419110.94000000,2023-11-12 18:00:00
283,1699815600000,57.3,57.49,55.5,56.03,486940.89000000,2023-11-12 19:00:00
